,State,Lags
0,Alabama,"{'aqi': 24, 'ACs': 13, 'CO': 3, 'Lead': 1, 'NOx': 11, 'Temp': 4, 'Ozone': 11, 'Particulates': 11, 'RH': 7, 'SO2': 7}"
1,Alaska,"{'aqi': 24, 'ACs': 1, 'CO': 6, 'Lead': 1, 'NOx': 6, 'Temp': 4, 'Ozone': 11, 'Particulates': 4, 'RH': 4, 'SO2': 11}"
2,Arizona,"{'aqi': 24, 'ACs': 13, 'CO': 6, 'Lead': 6, 'NOx': 2, 'Temp': 8, 'Ozone': 11, 'Particulates': 11, 'RH': 7, 'SO2': 7}"
3,Arkansas,"{'aqi': 5, 'ACs': 1, 'CO': 6, 'Lead': 1, 'NOx': 6, 'Temp': 4, 'Ozone': 4, 'Particulates': 9, 'RH': 4, 'SO2': 11}"
4,California,"{'aqi': 24, 'ACs': 13, 'CO': 6, 'Lead': 4, 'NOx': 11, 'Temp': 4, 'Ozone': 11, 'Particulates': 11, 'RH': 7, 'SO2': 11}"
5,Colorado,"{'aqi': 24, 'ACs': 13, 'CO': 6, 'Lead': 4, 'NOx': 11, 'Temp': 8, 'Ozone': 4, 'Particulates': 11, 'RH': 7, 'SO2': 2}"
6,Connecticut,"{'aqi': 24, 'ACs': 1, 'CO': 3, 'Lead': 1, 'NOx': 2, 'Temp': 4, 'Ozone': 6, 'Particulates': 11, 'RH': 5, 'SO2': 11}"
7,Delaware,"{'aqi': 24, 'ACs': 9, 'CO': 10, 'Lead': 4, 'NOx': 11, 'Temp': 8, 'Ozone': 11, 'Particulates': 9, 'RH': 4, 'SO2': 7}"
8,District Of Columbia,"{'aqi': 24, 'ACs': 9, 'CO': 3, 'Lead': 1, 'NOx': 11, 'Temp': 8, 'Ozone': 6, 'Particulates': 11, 'RH': 4, 'SO2': 11}"
9,Florida,"{'aqi': 24, 'ACs': 9, 'CO': 10, 'Lead': 4, 'NOx': 6, 'Temp': 8, 'Ozone': 6, 'Particulates': 9, 'RH': 5, 'SO2': 7}"
10,Georgia,"{'aqi': 24, 'ACs': 13, 'CO': 6, 'Lead': 6, 'NOx': 6, 'Temp': 4, 'Ozone': 11, 'Particulates': 9, 'RH': 4, 'SO2': 7}"
11,Hawaii,"{'aqi': 24, 'ACs': 13, 'CO': 10, 'Lead': 4, 'NOx': 11, 'Temp': 5, 'Ozone': 11, 'Particulates': 4, 'RH': 4, 'SO2': 11}"
12,Idaho,"{'aqi': 24, 'ACs': 1, 'CO': 10, 'Lead': 6, 'NOx': 11, 'Temp': 4, 'Ozone': 6, 'Particulates': 9, 'RH': 4, 'SO2': 2}"
13,Illinois,"{'aqi': 24, 'ACs': 1, 'CO': 3, 'Lead': 1, 'NOx': 2, 'Temp': 8, 'Ozone': 4, 'Particulates': 4, 'RH': 4, 'SO2': 2}"
14,Indiana,"{'aqi': 24, 'ACs': 1, 'CO': 10, 'Lead': 1, 'NOx': 2, 'Temp': 8, 'Ozone': 4, 'Particulates': 11, 'RH': 4, 'SO2': 2}"
15,Iowa,"{'aqi': 5, 'ACs': 13, 'CO': 10, 'Lead': 1, 'NOx': 11, 'Temp': 8, 'Ozone': 11, 'Particulates': 4, 'RH': 7, 'SO2': 11}"
16,Kansas,"{'aqi': 24, 'ACs': 1, 'CO': 6, 'Lead': 4, 'NOx': 11, 'Temp': 5, 'Ozone': 11, 'Particulates': 11, 'RH': 7, 'SO2': 11}"
17,Kentucky,"{'aqi': 24, 'ACs': 9, 'CO': 3, 'Lead': 6, 'NOx': 2, 'Temp': 4, 'Ozone': 4, 'Particulates': 9, 'RH': 4, 'SO2': 7}"
18,Louisiana,"{'aqi': 24, 'ACs': 1, 'CO': 3, 'Lead': 1, 'NOx': 2, 'Temp': 4, 'Ozone': 6, 'Particulates': 11, 'RH': 7, 'SO2': 7}"
19,Maine,"{'aqi': 24, 'ACs': 1, 'CO': 3, 'Lead': 6, 'NOx': 2, 'Temp': 4, 'Ozone': 11, 'Particulates': 4, 'RH': 4, 'SO2': 2}"
20,Maryland,"{'aqi': 24, 'ACs': 1, 'CO': 6, 'Lead': 1, 'NOx': 2, 'Temp': 4, 'Ozone': 11, 'Particulates': 9, 'RH': 4, 'SO2': 2}"
21,Massachusetts,"{'aqi': 24, 'ACs': 1, 'CO': 3, 'Lead': 1, 'NOx': 2, 'Temp': 4, 'Ozone': 11, 'Particulates': 11, 'RH': 7, 'SO2': 2}"
22,Michigan,"{'aqi': 24, 'ACs': 9, 'CO': 10, 'Lead': 1, 'NOx': 2, 'Temp': 5, 'Ozone': 4, 'Particulates': 11, 'RH': 4, 'SO2': 2}"
23,Minnesota,"{'aqi': 24, 'ACs': 1, 'CO': 3, 'Lead': 6, 'NOx': 6, 'Temp': 8, 'Ozone': 11, 'Particulates': 11, 'RH': 4, 'SO2': 2}"
24,Mississippi,"{'aqi': 24, 'ACs': 1, 'CO': 3, 'Lead': 6, 'NOx': 11, 'Temp': 5, 'Ozone': 11, 'Particulates': 9, 'RH': 4, 'SO2': 2}"
25,Missouri,"{'aqi': 24, 'ACs': 13, 'CO': 10, 'Lead': 6, 'NOx': 6, 'Temp': 4, 'Ozone': 6, 'Particulates': 11, 'RH': 5, 'SO2': 2}"
26,Montana,"{'aqi': 24, 'ACs': 1, 'CO': 3, 'Lead': 1, 'NOx': 2, 'Temp': 4, 'Ozone': 11, 'Particulates': 4, 'RH': 7, 'SO2': 11}"
27,Nebraska,"{'aqi': 24, 'ACs': 9, 'CO': 3, 'Lead': 1, 'NOx': 11, 'Temp': 8, 'Ozone': 11, 'Particulates': 9, 'RH': 7, 'SO2': 11}"
28,Nevada,"{'aqi': 24, 'ACs': 1, 'CO': 3, 'Lead': 4, 'NOx': 6, 'Temp': 4, 'Ozone': 4, 'Particulates': 9, 'RH': 7, 'SO2': 11}"
29,New Hampshire,"{'aqi': 24, 'ACs': 1, 'CO': 3, 'Lead': 4, 'NOx': 2, 'Temp': 4, 'Ozone': 4, 'Particulates': 11, 'RH': 4, 'SO2': 2}"
30,New Jersey,"{'aqi': 24, 'ACs': 9, 'CO': 10, 'Lead': 1, 'NOx': 2, 'Temp': 8, 'Ozone': 4, 'Particulates': 11, 'RH': 5, 'SO2': 11}"
31,New Mexico,"{'aqi': 24, 'ACs': 13, 'CO': 10, 'Lead': 6, 'NOx': 2, 'Temp': 8, 'Ozone': 11, 'Particulates': 11, 'RH': 7, 'SO2': 7}"
32,New York,"{'aqi': 24, 'ACs': 1, 'CO': 3, 'Lead': 1, 'NOx': 2, 'Temp': 8, 'Ozone': 11, 'Particulates': 4, 'RH': 7, 'SO2': 7}"
33,North Carolina,"{'aqi': 24, 'ACs': 9, 'CO': 3, 'Lead': 6, 'NOx': 2, 'Temp': 5, 'Ozone': 11, 'Particulates': 11, 'RH': 4, 'SO2': 11}"
34,North Dakota,"{'aqi': 5, 'ACs': 1, 'CO': 3, 'Lead': 1, 'NOx': 6, 'Temp': 4, 'Ozone': 11, 'Particulates': 4, 'RH': 7, 'SO2': 7}"
35,Ohio,"{'aqi': 24, 'ACs': 13, 'CO': 10, 'Lead': 1, 'NOx': 6, 'Temp': 4, 'Ozone': 6, 'Particulates': 4, 'RH': 7, 'SO2': 11}"
36,Oklahoma,"{'aqi': 24, 'ACs': 1, 'CO': 3, 'Lead': 1, 'NOx': 11, 'Temp': 8, 'Ozone': 11, 'Particulates': 4, 'RH': 4, 'SO2': 2}"
37,Oregon,"{'aqi': 24, 'ACs': 13, 'CO': 3, 'Lead': 6, 'NOx': 2, 'Temp': 8, 'Ozone': 4, 'Particulates': 4, 'RH': 5, 'SO2': 7}"
38,Pennsylvania,"{'aqi': 24, 'ACs': 1, 'CO': 6, 'Lead': 1, 'NOx': 2, 'Temp': 8, 'Ozone': 11, 'Particulates': 9, 'RH': 4, 'SO2': 11}"
39,Rhode Island,"{'aqi': 24, 'ACs': 1, 'CO': 10, 'Lead': 6, 'NOx': 6, 'Temp': 8, 'Ozone': 11, 'Particulates': 11, 'RH': 5, 'SO2': 7}"
40,South Carolina,"{'aqi': 24, 'ACs': 1, 'CO': 10, 'Lead': 4, 'NOx': 6, 'Temp': 5, 'Ozone': 11, 'Particulates': 9, 'RH': 5, 'SO2': 7}"
41,Tennessee,"{'aqi': 24, 'ACs': 13, 'CO': 10, 'Lead': 4, 'NOx': 6, 'Temp': 8, 'Ozone': 11, 'Particulates': 9, 'RH': 4, 'SO2': 2}"
42,Texas,"{'aqi': 24, 'ACs': 9, 'CO': 10, 'Lead': 6, 'NOx': 6, 'Temp': 8, 'Ozone': 6, 'Particulates': 4, 'RH': 4, 'SO2': 11}"
43,Utah,"{'aqi': 24, 'ACs': 1, 'CO': 6, 'Lead': 4, 'NOx': 11, 'Temp': 4, 'Ozone': 11, 'Particulates': 11, 'RH': 4, 'SO2': 2}"
44,Vermont,"{'aqi': 24, 'ACs': 9, 'CO': 3, 'Lead': 1, 'NOx': 2, 'Temp': 8, 'Ozone': 4, 'Particulates': 4, 'RH': 4, 'SO2': 2}"
45,Virginia,"{'aqi': 24, 'ACs': 1, 'CO': 10, 'Lead': 1, 'NOx': 6, 'Temp': 4, 'Ozone': 4, 'Particulates': 11, 'RH': 4, 'SO2': 2}"
46,Washington,"{'aqi': 24, 'ACs': 13, 'CO': 6, 'Lead': 1, 'NOx': 11, 'Temp': 8, 'Ozone': 11, 'Particulates': 4, 'RH': 4, 'SO2': 2}"
47,West Virginia,"{'aqi': 24, 'ACs': 1, 'CO': 6, 'Lead': 1, 'NOx': 2, 'Temp': 8, 'Ozone': 11, 'Particulates': 4, 'RH': 4, 'SO2': 11}"
48,Wisconsin,"{'aqi': 24, 'ACs': 13, 'CO': 6, 'Lead': 1, 'NOx': 6, 'Temp': 8, 'Ozone': 11, 'Particulates': 4, 'RH': 4, 'SO2': 7}"
49,South Dakota,"{'aqi': 24, 'ACs': 13, 'CO': 10, 'Lead': 6, 'NOx': 2, 'Temp': 8, 'Ozone': 11, 'Particulates': 11, 'RH': 7, 'SO2': 2}"
50,Wyoming,"{'aqi': 6, 'ACs': 6, 'CO': 6, 'Lead': 4, 'NOx': 2, 'Temp': 4, 'Ozone': 4, 'Particulates': 4, 'RH': 4, 'SO2': 2}"
